FORGE_PHASE_2_X_MODULE_DECISION_TABLE.txt
Generated: 2026-06-04
Scope: Concise module decision table for human review.

[Module Name | Classification | Recommended Domain | Ownership | Candidate | Action Recommendation | Priority | Notes]
quotation-extraction-result.entity.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
reactivation-strategy-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
real-gmm-quote-test.js | DOCUMENT | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
sales-context-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
sales-dna-learning-event.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
sales-dna-profile-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
sales-dna-stage-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
sales-dna.constants.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
sales-learning-event.entity.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
sales-script-types.constants.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
sales-tone.constants.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
script-adaptation-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
smart-outreach-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
smnyl-pipeline-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | carrier-specific boundary review; possible orphan / no incoming imports detected
tone-performance-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
tone-profile-engine.js | KEEP | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
vida-mujer-client-presentation-test.js | CONSOLIDATE LATER | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
vida-mujer-financial-fixture-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 02 SALES CONVERSION ENGINE | 02 SALES CONVERSION ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
imagina-ser-objection-engine.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-advisor-performance-master-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-coaching-insight-master-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-combat-intelligence-report-engine.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-combat-intelligence-report-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-combat-master-test.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-combat-orchestrator.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-core-engine.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-integration-master-test.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-learning-engine.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-master-acceptance-test.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-master-intelligence-engine.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-master-intelligence-master-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-memory-master-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-next-best-action-engine.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-next-best-action-master-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-personality-master-test.js | CONSOLIDATE LATER | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
nash-v03-master-test.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
nash-v04-master-test.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
objection-resolution-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
objection-response-strategy-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
orvi-objection-engine.js | DOCUMENT | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
shared-objection-shield-engine.js | KEEP | 03 NASH CONVERSATION INTELLIGENCE | 03 NASH CONVERSATION INTELLIGENCE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
ai-prompt-builder.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
business-rules-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
critical-path-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
decision-appendix-master-test.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
discovery-product-alignment-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
education-cost-master-test.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
education-paths-master-test.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
event-benefit-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
financial-pyramid-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
financial-pyramid-priority-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
financial-pyramid-story-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
forge-ai-guardrails-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
forge-global-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
forge-imagina-ser-client-presentation-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
forge-semantic-risk-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
forge-shared-ave-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
forge-vida-mujer-advisor-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
imagina-ser-article-185-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
imagina-ser-contribution-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
imagina-ser-fiscal-bag-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
imagina-ser-fiscal-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
imagina-ser-fiscal-router-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
imagina-ser-happy-numbers-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
imagina-ser-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
imagina-ser-retirement-fund-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
imagina-ser-variant-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
imagina-ser-variant-fiscal-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
line-of-business-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
nash-message-recommendation-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
needs-discovery-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
orvi-client-presentation-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
orvi-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
orvi-mxn-conversion-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
orvi-ocr-extractor.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
policy-ai-parser.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
policy-filter-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
product-detection-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
product-knowledge-link-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
product-schema-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | ALTA | possible orphan / no incoming imports detected
search-index-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
segu-beca-client-presentation-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
segu-beca-decision-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
segu-beca-education-comparison-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
segu-beca-education-options-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
